"Rank","RatingTomatometer","Title","Genre"
1,"99%","Parasite (Gisaengchung) (2019)","ArtHouse&International,Drama"
2,"94%","Avengers: Endgame (2019)","Action&Adventure,Drama,ScienceFiction&Fantasy"
3,"93%","Us (2019)","Horror,Mystery&Suspense"
4,"97%","Toy Story 4 (2019)","Animation,Comedy,Kids&Family,ScienceFiction&Fantasy"
5,"97%","Knives Out (2019)","Drama,Mystery&Suspense"
6,"96%","The Irishman (2019)","Drama,Mystery&Suspense"
7,"98%","The Farewell (2019)","Comedy,Drama"
8,"97%","Booksmart (2019)","Comedy"
9,"94%","Little Women (2019)","Drama"
10,"95%","Marriage Story (2019)","Drama"
11,"91%","Spider-Man: Far From Home (2019)","Action&Adventure,ScienceFiction&Fantasy"
12,"95%","If Beale Street Could Talk (2019)","Drama,Romance"
13,"95%","A Beautiful Day in the Neighborhood (2019)","Drama"
14,"85%","Once Upon a Time In Hollywood (2019)","Comedy,Drama"
15,"97%","Pain and Glory (Dolor y gloria) (2019)","Drama"
16,"90%","Shazam! (2019)","Action&Adventure,ScienceFiction&Fantasy"
17,"92%","Ford v Ferrari (2019)","Action&Adventure,Drama"
18,"99%","Apollo 11 (2019)","Documentary"
19,"97%","Dolemite Is My Name (2019)","Drama"
20,"92%","Uncut Gems (2019)","Drama"
21,"100%","They Shall Not Grow Old (2019)","ArtHouse&International,Documentary"
22,"90%","The Lighthouse (2019)","Drama,Horror,ScienceFiction&Fantasy"
23,"89%","Rocketman (2019)","Drama"
24,"99%","Amazing Grace (2019)","Documentary,Musical&PerformingArts"
25,"99%","Ash Is Purest White (2019)","Drama,Romance"
26,"90%","John Wick: Chapter 3 - Parabellum (2019)","Action&Adventure,Drama"
27,"96%","The Peanut Butter Falcon (2019)","Action&Adventure,Drama"
28,"100%","Honeyland (2019)","Documentary"
29,"100%","Knock Down the House (2019)","Documentary"
30,"94%","Honey Boy (2019)","Drama"
31,"93%","Fighting with My Family (2019)","Comedy"
32,"100%","One Cut of the Dead (Kamera o tomeru na!) (2019)","ArtHouse&International,Comedy,Horror"
33,"96%","Birds of Passage (Pajaros de verano) (2019)","Drama"
34,"98%","Maiden (2019)","Documentary"
35,"99%","For Sama (2019)","Documentary"
36,"91%","How to Train Your Dragon: The Hidden World (2019)","Action&Adventure,Animation,Kids&Family"
37,"99%","Varda by Agnes (2019)","Documentary"
38,"93%","Stan & Ollie (2019)","Comedy,Drama"
39,"96%","Atlantics (2019)","Drama,Romance"
40,"87%","Hustlers (2019)","Drama"
41,"98%","3 Faces (2019)","ArtHouse&International,Drama"
42,"98%","One Child Nation (2019)","Documentary"
43,"93%","The Last Black Man in San Francisco (2019)","Drama"
44,"97%","Woman at War (Kona fer i stri©£) (2019)","Action&Adventure,ArtHouse&International,Mystery&Suspense"
45,"78%","Captain Marvel (2019)","Action&Adventure,ScienceFiction&Fantasy"
46,"99%","Midnight Family (2019)","Documentary"
47,"98%","Deadwood: The Movie (2019)","Drama,Western"
48,"94%","Transit (2019)","ArtHouse&International,Drama"
49,"100%","Midnight Traveler (2019)","Documentary"
50,"100%","Mickey and the Bear (2019)","Drama"
51,"97%","First Love (Hatsukoi) (2019)","Action&Adventure,Drama,Mystery&Suspense"
52,"97%","Tigers Are Not Afraid (Vuelven) (2019)","ArtHouse&International,Drama,Horror,ScienceFiction&Fantasy"
53,"96%","Hail Satan? (2019)","Documentary"
54,"88%","Ready or Not (2019)","Horror,Mystery&Suspense"
55,"97%","Toni Morrison: The Pieces I Am (2019)","Documentary"
56,"84%","Ad Astra (2019)","Mystery&Suspense,ScienceFiction&Fantasy"
57,"98%","The Chambermaid (La camarista) (2019)","ArtHouse&International,Drama"
58,"83%","Midsommar (2019)","Horror"
59,"97%","The Heiresses (Las Herederas) (2019)","Drama"
60,"92%","Wild Rose (2019)","Comedy,Drama"
61,"89%","Blinded by the Light (2019)","Comedy,Drama"
62,"98%","63 Up (2019)","Documentary"
63,"98%","Too Late to Die Young (Tarde para morir joven) (2019)","ArtHouse&International,Drama"
64,"98%","Homecoming: A Film by Beyonce (2019)","Documentary,Musical&PerformingArts"
65,"96%","Little Woods (2019)","Drama"
66,"98%","Rojo (2019)","Drama,Mystery&Suspense"
67,"96%","By the Grace of God (Grace a Dieu) (2019)","Drama"
68,"91%","Gloria Bell (2019)","Comedy,Romance"
69,"98%","Chained for Life (2019)","Drama"
70,"98%","Rosie (2019)","Drama"
71,"98%","Working Woman (2019)","Drama"
72,"96%","American Factory (2019)","Documentary"
73,"97%","Making Waves: The Art of Cinematic Sound (2019)","Documentary"
74,"98%","Fiddler: A Miracle of Miracles (2019)","Documentary"
75,"93%","In Fabric (2019)","Comedy,Horror"
76,"96%","Be Natural: The Untold Story of Alice Guy-Blache (2019)","Documentary"
77,"94%","The Mustang (2019)","Drama"
78,"97%","The Cave (2019)","Documentary"
79,"98%","The Garden Left Behind (2019)","Drama,Gay&Lesbian"
80,"97%","The Kingmaker (2019)","Documentary"
81,"90%","Dark Waters (2019)","Drama"
82,"93%","Monos (2019)","Drama"
83,"96%","I Lost My Body (2019)","Animation,Drama,ScienceFiction&Fantasy"
84,"95%","Shadow (2019)","Action&Adventure,ArtHouse&International,Drama"
85,"96%","Ray & Liz (2019)","ArtHouse&International,Drama"
86,"93%","High Flying Bird (2019)","Drama"
87,"80%","Jojo Rabbit (2019)","Comedy,Drama"
88,"89%","The Two Popes (2019)","Drama"
89,"96%","Love, Antosha (2019)","Documentary"
90,"85%","The LEGO Movie 2: The Second Part (2019)","Animation,Comedy"
91,"96%","Harpoon (2019)","ArtHouse&International,Comedy,Horror"
92,"96%","An Elephant Sitting Still (Da xiang xi di er zuo) (2019)","ArtHouse&International,Drama"
93,"91%","Luce (2019)","Drama,Mystery&Suspense"
94,"94%","Mike Wallace Is Here (2019)","Documentary"
95,"90%","The Souvenir (2019)","Drama"
96,"89%","The Kid Who Would Be King (2019)","Action&Adventure,Kids&Family,ScienceFiction&Fantasy"
97,"87%","The Nightingale (2019)","Drama"
98,"94%","Ask Dr. Ruth (2019)","Documentary"
99,"94%","The Wild Pear Tree (Ahlat agaci) (2019)","Drama"
100,"95%","Citizen K (2019)","Documentary"
